nama_prov,value_prov,variable_kab,nama_kab,value_kab,kab
"PAPUA BARAT",91,R102,"MANOKWARI SELATAN",9111,11
"PAPUA BARAT",91,R102,"PEGUNUNGAN ARFAK",9112,12
"PAPUA BARAT",91,R102,SORONG,9171,71
PAPUA,94,R102,MERAUKE,9401,01
PAPUA,94,R102,JAYAWIJAYA,9402,02
PAPUA,94,R102,JAYAPURA,9403,03
PAPUA,94,R102,NABIRE,9404,04
PAPUA,94,R102,"KEPULAUAN YAPEN",9408,08
PAPUA,94,R102,"BIAK NUMFOR",9409,09
PAPUA,94,R102,PANIAI,9410,10
PAPUA,94,R102,"PUNCAK JAYA",9411,11
PAPUA,94,R102,MIMIKA,9412,12
PAPUA,94,R102,"BOVEN DIGOEL",9413,13
PAPUA,94,R102,MAPPI,9414,14
PAPUA,94,R102,ASMAT,9415,15
PAPUA,94,R102,YAHUKIMO,9416,16
PAPUA,94,R102,"PEGUNUNGAN BINTANG",9417,17
PAPUA,94,R102,TOLIKARA,9418,18
PAPUA,94,R102,SARMI,9419,19
PAPUA,94,R102,KEEROM,9420,20
PAPUA,94,R102,WAROPEN,9426,26
PAPUA,94,R102,SUPIORI,9427,27
PAPUA,94,R102,"MAMBERAMO RAYA",9428,28
PAPUA,94,R102,NDUGA,9429,29
PAPUA,94,R102,"LANNY JAYA",9430,30
PAPUA,94,R102,"MAMBERAMO TENGAH",9431,31
PAPUA,94,R102,YALIMO,9432,32
PAPUA,94,R102,PUNCAK,9433,33
PAPUA,94,R102,DOGIYAI,9434,34
PAPUA,94,R102,"INTAN JAYA",9435,35
PAPUA,94,R102,DEIYAI,9436,36
PAPUA,94,R102,JAYAPURA,9471,71
