Country;Other names;ISO 3166-1 alpha-3 CODE;Population;Total Cases;Total Deaths;Tot Cases//1M pop;Tot Deaths/1M pop;Death percentage
Malaysia;Malaysia;MYS;33091831;4246467;35099;128324;1061;0.826545926
Maldives;Maldives;MDV;557204;176993;298;317645;535;0.168368241
Mali;Mali;MLI;21271006;30495;728;1434;34;2.387.276.603
Malta;Malta;MLT;443602;81596;641;183940;1445;0.785577724
Marshall Islands;Marshall Islands;MHL;59889;7;0;117;0;0
Martinique;Martinique;MTQ;374756;141415;909;377352;2426;0.642788954
Mauritania;Mauritania;MRT;4863443;58670;982;12063;202;1.673.768.536
Mauritius;Mauritius;MUS;1275463;36628;968;28717;759;2.642.786.939
Mayotte;Mayotte;MYTÂ ;284330;36891;187;129747;658;0.506898702
Mexico;Mexico;MEX;131303955;5665376;323212;43147;2462;5.705.040.583
Micronesia;Micronesia (Federated States of);FSM;117134;1;0;9;0;0
Moldova;Republic of Moldova;MDA;4017550;514199;11446;127988;2849;2.225.986.437
Monaco;Monaco;MCO;39729;10842;54;272899;1359;0.498063088
Mongolia;Mongolia;MNG;3370682;468610;2177;139025;646;0.464565417
Montenegro;;MNE;628205;233326;2705;371417;4306;115.932.215
Montserrat;Montserrat;MSR;4997;175;2;35021;400;1.142.857.143
Morocco;Morocco;MAR;37676342;1163526;16060;30882;426;1.380.287.162
Mozambique;Mozambique;MOZ;32787052;225266;2200;6871;67;0.976623192
Myanmar;Myanmar;MMR;55048340;611875;19433;11115;353;3.175.975.485
Namibia;Namibia;NAM;2621429;157646;4019;60137;1533;2.549.382.794
Nepal;Nepal;NPL;30053867;978475;11951;32557;398;1.221.390.429
Netherlands;Netherlands;NLD;17201245;7908701;22016;459775;1280;0.278376942
New Caledonia;New Caledonia;NCL;290302;60294;311;207694;1071;0.515805884
New Zealand;New Zealand;NZL;5002100;693219;350;138586;70;0.050489095
Nicaragua;Nicaragua;NIC;6762511;18434;224;2726;33;1.215.145.926
Niger;Niger;NER;25738714;8811;308;342;12;3.495.630.462
Nigeria;Nigeria;NGA;215077352;255468;3142;1188;15;1.229.899.635
Niue;Niue;NIU;1645;7;0;4255;0;0
North Macedonia;The former Yugoslav Republic of Macedonia;MKD;2083224;306670;9228;147209;4430;3.009.097.727
Norway;Norway;NOR;5495449;1408708;2518;256341;458;0.178745347
Oman;Oman;OMN;5333815;388468;4251;72831;797;1.094.298.629
Pakistan;Pakistan;PAK;228397520;1525466;30361;6679;133;1.990.277.069
Palau;Palau;PLW;18245;4042;6;221540;329;0.148441366
Palestine;State of Palestine;WBG;5308883;581236;5351;109484;1008;0.920624325
Panama;Panama;PAN;4433639;765213;8170;172593;1843;1.067.676.582
Papua New Guinea;Papua New Guinea;PNG;9243590;42203;640;4566;69;1.516.479.871
Paraguay;Paraguay;PRY;7285892;648353;18731;88987;2571;2.889.012.621
Peru;Peru;PER;33775745;3548559;212328;105062;6286;5.983.499.218
Philippines;Philippines;PHL;112133868;3679485;59343;32813;529;1.612.807.227
Poland;Poland;POL;37774045;5969621;115345;158035;3054;1.932.199.716
Portugal;Portugal;PRT;10144662;3604114;21693;355272;2138;0.601895501
Qatar;Qatar;QAT;2807805;361819;677;128862;241;0.18711013
Réunion;RÃ©union;REU;906497;336945;709;371700;782;0.210420098
Romania;Romania;ROU;19013049;2860094;65090;150428;3423;2.275.799.327
Russia;Russian Federation;RUS;146044010;17896866;369708;122544;2531;2.065.769.504
Rwanda;Rwanda;RWA;13513881;129728;1458;9600;108;1.123.889.985
S. Korea;Republic of Korea;KOR;51346429;13874216;17235;270208;336;0.124223235
Saint Helena;Saint Helena;SHN;6109;2;0;327;0;0
Saint Kitts and Nevis;Saint Kitts and Nevis;KNA;53858;5549;43;103030;798;0.774914399
Saint Lucia;Saint Lucia;LCA;185096;22964;365;124065;1972;1.589.444.348
Saint Martin;Saint Martin;MAF;39820;10107;63;253817;1582;0.623330365
Saint Pierre Miquelon; Saint Pierre and Miquelon;SPM;5744;1957;1;340703;174;0.05109862
Samoa;Samoa;WSM;200722;2285;1;11384;5;0.043763676
San Marino;San Marino;SMR;34056;15181;113;445766;3318;0.744351492
Sao Tome and Principe;Sao Tome and Principe;STP;226281;5945;73;26273;323;1.227.922.624
Saudi Arabia;Saudi Arabia;SAU;35762746;751076;9048;21002;253;1.204.671.698
Senegal;Senegal;SEN;17515750;85919;1965;4905;112;2.287.037.791
Serbia;Serbia;SRB;8675762;1980722;15825;228305;1824;0.79895109
Seychelles;Seychelles;SYC;99413;40421;164;406597;1650;0.405729695
Sierra Leone;Sierra Leone;SLE;8260822;7674;125;929;15;1.628.876.727
Singapore;Singapore;SGP;5930887;1109744;1276;187113;215;0.114981473
Sint Maarten;Sint Maarten;SXM;43728;9766;86;223335;1967;0.880606185
Slovakia;Slovakia;SVK;5464272;1725487;19417;315776;3553;1.125.305.493
Slovenia;Slovenia;SVN;2079438;973892;6501;468344;3126;0.667527816
Solomon Islands;Solomon Islands;SLB;716351;11470;133;16012;186;1.159.546.643
Somalia;Somalia;SOM;16668781;26400;1348;1584;81;5.106.060.606
South Africa;South Africa;ZAF;60617532;3722954;100050;61417;1651;2.687.382.116
South Sudan;South Sudan;SSD;11423439;17278;138;1513;12;0.798703554
Spain;Spain;ESP;46786482;11551574;102541;246900;2192;0.887679895
Sri Lanka;Sri Lanka;LKA;21570428;661991;16481;30690;764;2.489.610.886
St. Barth ;Saint Barthélemy;BLM;9930;4150;6;417925;604;0.144578313
St. Vincent Grenadines;Saint Vincent and the Grenadines;VCT;111557;6746;106;60471;950;1.571.301.512
Sudan;Sudan;SDN;45640385;61955;4907;1357;108;7.920.264.708
Suriname;Suriname;SUR;595833;79232;1325;132977;2224;167.230.412
Sweden;Sweden;SWE;10209507;2487852;18331;243680;1795;0.736820357
Switzerland;Switzerland;CHE;8765420;3490876;13715;398255;1565;0.392881328
Syria;Syrian Arab Republic;SYR;18244381;55711;3144;3054;172;564.340.974
Taiwan;China, Taiwan Province of China;TWN;23892241;24310;853;1017;36;3.508.844.097
Tajikistan;Tajikistan;TJK;9912437;17388;124;1754;13;0.713135496
Tanzania;United Republic of Tanzania;TZA;62710097;33815;800;539;13;2.365.813.988
Thailand;Thailand;THA;70106601;3711595;25418;52942;363;0.684826874
Timor-Leste;Timor-Leste;TLS;1362386;22832;130;16759;95;0.569376314
Togo;Togo;TGO;8618172;36944;272;4287;32;0.736249459
Tonga;Tonga;TON;107792;7127;9;66118;83;0.126280342
Trinidad and Tobago;Trinidad and Tobago;TTO;1407422;138425;3756;98354;2669;2.713.382.698
Tunisia;Tunisia;TUN;12035092;1035884;28323;86072;2353;2.734.186.453
Turkey;Turkey;TUR;85927644;14894731;98157;173340;1142;0.659004852
Turks and Caicos;Turks and Caicos Islands;TCAÂ ;39634;5910;36;149114;908;0.609137056
UAE;United Arab Emirates;ARE;10099567;892170;2302;88337;228;0.258022574
Uganda;Uganda;UGA;48267221;163936;3595;3396;74;2.192.928.948
UK;United Kingdom of Great Britain and Northern Ireland;GBR;68510300;21216874;165570;309689;2417;0.780369436
Ukraine;Ukraine;UKR;43273831;4968881;107980;114824;2495;2.173.125.096
Uruguay;Uruguay;URY;3494806;889513;7166;254524;2050;0.805609362
USA;United States of America;USA;334400597;81839052;1008222;244734;3015;1.231.957.086
Uzbekistan;Uzbekistan;UZB;34318156;237853;1637;6931;48;0.688240216
Vanuatu;Vanuatu;VUT;319701;4107;2;12846;6;0.048697346
Vatican City;Holy See;VAT;805;29;0;36025;0;0
Venezuela;Venezuela (Bolivarian Republic of);VEN;28294895;520843;5686;18408;201;1.091.691.738
Vietnam;Viet Nam;VNM;98871712;9818328;42600;99304;431;0.433882429
Wallis and Futuna;Wallis and Futuna Islands;WLF;10894;454;7;41674;643;154.185.022
Western Sahara;Western Sahara;ESHÂ ;623031;10;1;16;2;10
Yemen;Yemen;YEM;30975258;11806;2143;381;69;1.815.178.723
Zambia;Zambia;ZMB;19284482;317076;3967;16442;206;1.251.119.605
Zimbabwe;Zimbabwe;ZWE;15241601;246525;5446;16174;357;2.209.106.581
